ID,color_blind,yrs_english,video_games,device,headphones,order_of_levels,level1,sleep1,start_time1,OffTime1,OnTime1,Total_runs_Stroop_Off1,Total_runs_Stroop_On1,OnTime_minus_OffTime1,level2,sleep2,start_time2,OffTime2,OnTime2,Total_runs_Stroop_Off2,Total_runs_Stroop_On2,OnTime_minus_OffTime2,level3,sleep3,start_time3,OffTime3,OnTime3,Total_runs_Stroop_Off3,Total_runs_Stroop_On3,OnTime_minus_OffTime3,ID,,
52,No,4,No,iPhone / iPod,In-ear headphones; noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,8,19:00:00,64.646,68.636,5,5,3.992,EDS,8,19:00:00,65.343,70.544,5,5,5.201,CLA,8,19:00:00,65.637,69.957,5,5,4.32,52,,
53,No,6,Yes,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,7,18:00:00,55.64,64.575,6,5,8.935,EDS,7,18:10:00,51.421,53.795,5,6,2.374,CLA,7,18:20:00,52.127,63.934,5,5,11.807,53,,
54,No,6,Yes,iPhone / iPod,In-ear headphones; noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,10,22:00:00,64.852,60.342,5,5,-4.51,CLA,10,22:05:00,64.789,67.472,5,5,2.683,EDS,10,22:11:00,59.323,60.446,5,6,1.123,54,,
55,No,12,No,iPhone / iPod,In-ear headphones; not noise cancelling,,QUI,7,14:00:00,62.161,78.418,5,5,16.257,EDS,7,14:30:00,60.98,86.616,5,6,25.636,CLA,7,15:00:00,68.801,78.9,5,6,10.099,55,,
56,No,15,No,iPhone / iPod,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,7,12:00:00,52.937,72.799,6,5,19.863,EDS,7,12:00:00,64.355,65.455,5,6,1.1,CLA,7,12:00:00,52.983,61.05,5,5,8.067,56,,
57,No,8,Yes,iPhone / iPod,In-ear headphones; not noise cancelling,,QUI,6,14:28:00,49,52.736,8,6,2.836,EDS,6,14:34:00,42.085,42.732,5,6,0.648,CLA,6,14:41:00,43.058,52.059,6,11,9.002,57,,
58,No,4,Yes,iPhone / iPod,In-ear headphones; not noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);,EDS,7,23:51:00,53.561,55.167,9,5,1.606,CLA,7,23:56:00,48.986,59.549,9,9,10.563,QUI,7,0:01:00,48.6,63.107,5,5,14.507,58,,
59,No,6,No,iPhone / iPod,In-ear headphones; not noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);,EDS,8,17:08:00,51.108,57.302,8,6,6.193,CLA,8,17:15:00,45.032,50.686,5,5,5.653,QUI,8,17:20:00,46.593,45.332,5,6,-1.261,59,,
60,No,6,No,Android phone,In-ear headphones; not noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);,EDS,9,13:13:00,64.282,67.526,5,5,3.244,CLA,9,13:19:00,62.878,74.753,5,6,11.875,QUI,9,13:24:00,59.464,67.308,5,7,7.844,60,,
61,No,18,Yes,iPhone / iPod,Over-ear headphones; noise cancelling,,QUI,6,18:00:00,47.787,52.47,5,5,4.683,CLA,6,18:08:00,43.332,47.893,6,6,4.561,EDS,6,18:15:00,43.393,50.888,5,5,7.495,61,,
